 ___________________________________________________________________________________________________________________________________________________________________ 
|Код       |Наименование                  |Адрес                                                       |Расчетный                                                   |
|получателя|получателя                    |получателя                                                  |счет                                                        |
|...................................................................................................................................................................|
|       150| г.Белоозерск ч/п Хруцкий О.П.|                                г.Белоозерск,ул.Козюнца,4/44|         301 320 114 0010 в Приорбанке г.Белоозерска код 147|
|       151|                г.Жабинка РКБО|                                        г.Жабинка ул.Федяя 9|                   3012200830011 в Бел АПБ г.Жабинка код.403|
|       152|            г.Брест ООО Модерн|                                   г.Брест ул.Менжинского 28|                     3012000030332 в фил.1 БелБалтия код.241|
|       154|     г.Пинск ч/п Аникевич В.А.|                           г.Пинск,ул.60 лет Октября д.8кв.9|             301 320 121 0015 в Приорбанк г.Пинска код 054  |
|       155|           г.Брест ООО"АЛЕГРИ"|                                     г.Брест,ул.Карбышева,41|  301 200 262 1008 в БРБ "Белвнешэкономбанк" г.Брест код 201|
|       156|       г.Брест ч/п Авдеев Н.В.|                                г.Брест ул.Луцкая,д.16 кв.9.|          3013030529994 в Белкомбанке  дог.298 от 20.05.97г.|
|       158|            г.Ивацевичи ПМК 18|                                     г.Ивацевичи,ул.Лесная,3|      301 220 101 0010 в филиале 0508 Приорбанка г.Ивацевичи|
|       159|             г.Брест "ЭСКУЛАП"|                                  г.Брест,Бульвар Шевченко,4|                         301 220 425 0010 в АКСБ "Приорбанк"|
|       160|               г.Ивацевичи КБО|                            г. Ивацевичи Почтовый переулок 5|               301 220 107 0010 в Агропромбанке г. Ивацевичи|
|       161|            Барановичи "Олимп"|                              г.Барановичи ул.Брестская 224а|                                     3012002420010 в АК БПСБ|
|       162|г.ПинскПФ-ка п-ва и рем. обуви|                                  г.Пинск,ул.Центральная,15б|                       301 220 039 0012 в Приорбанке,код 984|
|       163|           г.Брест ООО "Алекс"|                                    г.Брест ул.Карбышева 103|                                         3012200250614 в БББ|
|       164|      г.Брест ГП Брестоблпочта|                                      г.Брест пр.Машерова 32|                  3012100050011 в АСБ Белорусьбанка г.Бреста|
|       165|     г.Барановичи ПКФ "Интекс"|                                г.Барановичи ул.Фабричная-15|                     3012203240019 в Приорбанке г.Барановичи|
|       166|          г.Брест ООО "Оксана"|                          г.Брест ул.Красногвардейская 116/2|                     3012123100409 в АО Белкомбанке г.Бреста|
|       167|                  г.Брест КПВС|                                   г.Брест ул.Фартечная 65/7|                           3012202360016 в ГБ АКБ Приорбанка|
|       168|         г.Береза ПКФ "Визави"|                                      г.Береза ,ул.Ленина 90|                 301 200 000 1285 в ф-ле 106 АСБ еларусбанка|
|       169|              Пинск ООО "Ритм"|                                г.Пинск ул.Западный промузел|                                3012000380019 в ПСБ г.Пинска|
|       170|Агрофирма-колхоз "Рагазнянский|                             Брестская обл.,Жабинковский р-н|                  301 220 030 0017 в Агропромбанке г.Жабинка|
|       171| г.Малорита Овощесушильный з-д|                                   г.Малорита ул.Заводская 9|                             3012200330011 в БАПБ г.Малориты|
|       172|    Брестский р-н ч/п СКУРЬЯТ |                   Брестский р-он д. Черни ул. О.Кошевого 18|                       301 300 422 0018 в УАК  ПСБ г. Бреста|
|       173|           г.Пинск МП "ГАЛАНТ"|                                   г. Пинск ул. ШУБИТИДЗЕ 19|                         301 300 071 0011 в АК ПСБ г. Пинска|
|       174|      д.Вычулки ПКБ " БЕЛТЕКС"|                 Брестский р-он,д.Вычулки ул. Центральная 87|                        301 220 080 0012 в АКБ ВББ г. Бреста|
|       175|         д.Задворцы МЧП "ВИТА"|                                  Брестский р-он д. Задворцы|                        301 220 035 0016 в АКП БББ г. Бреста|
|       176|  г.Брест ОМТС железной дороги|                                         г.Брест,Фортечная,1|                301 260 012 0012 в АСБ Беларусьбанк г.Бреста|
|       177|              г. Малорита РКБО|                                 г.Малорита ул. Кобринская-3|                              3012200600015 в АПБ г.Малорита|
|       178|            г.Брест "НИК-АГРО"|                                  г. Брест ул Мицкевича 15/3|                             301 200 194 1008 в ВЭ г. Бреста|
|       179|   г.Брест ТПП "ЛАМ-УНИВЕРСАЛ"|                               г. Брест ул. Ленинградская 39|                 301 220 158 0012 в УАК БББ г.Бреста код 823|
|       180|           г.Иваново ГП "РИТМ"|                                  г. ИВАНОВО ул. К.Маркса 43|                      301 200 000 5928 в АСБ  "Беларусьбанк"|
|       181|              г.Берёза ГПО ЖКХ|                                                 г. БЕРЕЗА  |                             301 200 012 0043 в ПСБ г.БЕРЕЗЫ|
