 ___________________________________________________________________________________________________________________________________________________________________ 
|Код       |Наименование                  |Адрес                                                       |Расчетный                                                   |
|получателя|получателя                    |получателя                                                  |счет                                                        |
|...................................................................................................................................................................|
|       880|         Иваново Дом"Ивчесмаш"|                              г.Иваново ул.П.Большевикова 27|           40702810017020190697 в АКСБРФОАО Ивановскрм банке|
|       881|  Наро-Фоминск ЗАО"Нарфомшелк"|                                 г.Наро-Фоминск пл.Свободы 2|                      40702810516000137100 в Нарфом.ф-ле УКБ|
|       882|    Смоленск АО"Льнокомбинат" |                           г.Смоленск ул.Ново-Московская 2/8|                     40702810100630000263 в СКО-банк код.757|
|       883|        Москва ЗАО "СК Клемон"|                 г.Москва ул.Гродненская 5а ЗАО "СК Клемон" |              40702810800061031771 в АКБ "Автобанк" г.Москвы|
|       884|Большие Дворы "Павл-Пас льнок"|                            Московская обл.пос.Большие Дворы|                          40702810619000137000 в Уникомбанке|
|       885|          Дмитров искуств.меха|                                                   г.Дмитров|                                                            |
|       886|          Москва ООО "Сполонт"|                                   г.Москва ул.Снайперская 6|             40702810200000000077 в КБ "Астана-холдинг-Банк"|
|       887|       ОАО "Котовский горторг"|                                г.Котовск, ул.Советская, 14а|                                        40702810861270000058|
|       888|            Москва ТОО"Юникор"|                                г.Москва Варшавское шоссе 9а|                             40702810622000000812 в МКБ МСЭБ|
|       889|           Москва ООО "Риолис"|                                     г.Москва пер.Пестовский|                    40702810338120101765 в МБАКСБРФ г.Москвы|
|       890|         Москва ООО"Престиж Н"|                                г Москва ул Снайперская 6/3 |                   30101810300000000257 в Кредитимпекс -банк|
|       891|    Иваново ООО"Стандартпласт"|                                      г Иваново пр.Ленина 94|                       40702810500000002500 в АКБ "Кранбанк"|
|       892|                  Нижний Тагил|                                                Нижний Тагил|                                                            |
|       893|   г.Красногорск ч/п Румянцева|                                               г.Красногорск|                                                            |
|       900|       Киев АА фирма"КИЕВГУМА"|               252039, г.Киев-39, проспект 40 лет Октября, 6|      р/с 244405 Московское отд. АК Проминвестбанка г.Киева |
|       901|Ивано-Франковск ч/п Робкалюк О|                           г.Ивано-Франковск ул.Жовтнева 330|                                                            |
|       902|    г.Коломыя,ч/п Франчук В.И.|                    Украина,Ивано-Франковская обл.,г.Коломыя|                                                            |
|       903|       с.Космач,ч/п КИФЯК О.М.|                    Украина,Ивано-Франковская  обл.,с.Космач|                           Свидет.3327.дог 356 от 11.06.98г.|
|       904|         Ратно ч/п Пикалов Н И|                                 г.Ратно ул.Учительская 14/2|      свид.2212014791/377 от 27.08.97г. дог 348 от 4.06.98г.|
|       905|И-Франковск,ул.Карпатская13кв1| г.Ивано-Франковск,ул.Карпатская д.13 кв1 ч/п  Мохначук Б.Б.|                                      свид.254 от 31.06.97г.|
|       906|  с.Космач, ч/п Кушнирчук М.К.|                             Ивано-Франковская обл.,с.Космач|           Свид.62512710 от 26.07.96г. дог.329 от 21 05 98г.|
|       909|           г.Луцк ГП "ВОЛТЕКС"|                              263023, г.Луцк, ул.Карбышева,2|                           321407 в обл. дирекции УКСОЦБАНКА|
|       910|           г.Луцк ТОО Тексторг|                                     г.Луцк,ул.Глушець 49/39|                                  467633 в Градбанке г.Луцка|
|       912|             г.Луцк,МП"Антом".|                               263026 г.Луцк,ул.Кравчука-11.|                         468705 в АБ Заподинкомбанк г.Луцка.|
|       914|      Концерн"Запорожабразив".|                                        г.Запорожье ГСП-600.|   260018 в Запорожском региональном упр-нии КБ"Приватбанк".|
|       915|   Иршавский абразивный завод.|                          Украина, г.Иршава, ул.Федорова,12.|                       260502 в Иршавском отд.Агропромбанка.|
|       917|      Тернополь ОАО з-д"ИСКОЖ"|                         282010 г.Тернополь ул.Текстильная,5|                        263 201 в Солнечном отд. Укрсоцбанка|
|       918|           Луцк ОАО"СИНТЕТИКА"|                                263023г.Луцк,ул.Карбышева,1.|                                  321001 в АКБ"ИНКО"г.Луцка.|
|       919|   с.Космач ч/п Вардзарук Ю.В.|              Ивано-Франковская обл.,Косовский р-он,с.Космач| свид. N 3139 от 16.06.1997г. Договор N 117 от 23.12.1997г. |
|       920|    с.Космач ч/п Плиторак Е.Д.|             Ивано-Франковская обл.,Косовский р-он, с.Космач|свид. N 62510303 от 12.01.1995г. Договор N 222 от17.02.1998г|
|       921|        с.Космач Горгонюк М.К.|                             с.Космач Ивано-Франковская обл.|                         паспорт 1-НМ 733961 от.15.12.1977г.|
|       922|          с.Космач Линдюк В.Г.|               Ивано-Франковская обл.Косовский р-н,с.Космач.|            V-НМ N699817 выдан ОВД Косовского райсп. 7.05.86|
|       923|       г.Коломыя Гаврищук И.В.|                             Ивано-Франковская обл.г.Коломия|                                    1V-HМ N582451 20.06.80г.|
|       925|                   ДОВГАНЮК В.|                             ДОВГАНЮК Ивано-франковская обл.|                                                            |
|       926|          с.Космач Кнышук О.М.|               Ивано-Франковская обл.,Косовский р-н,с.Космач|                                 IV-НМ 545946 от 21.02.89 г.|
|       931|И-Франковск, ч/п Мохначук Б.Б.|                         Ивано-Франковск,ул.Карпатская,13кв1|        свид.N 254 от 31.06.97г. договор N 218 от 12.02.98г.|
|       932|       г.Киев ч/л Сулягина Е А|                                 г.Киев ул.Маяковского 79А/7|                                                            |
|       933|  с.Космач ч/п. Кушнирчук А.А.|                                  г.Ивано-Франковск,с.Космач|                          свид.62510541 дог.343 от 3.06.98г.|
|       934|  с.Космач ч/п. Варцабьюк П.В.|                             Ивано-Франковская обл.,с.Космач|                                                            |
|       935| И-Франк обл ч/п Клапцуняк А С|                                 И-Франковская обл.с.Космач |                      свид.62270282/521 дог 344 от 3.06.98г.|
|       936|        с.Космач Бабинский Н В|                            Ивано-Франковская обл. с.Космач |                                                            |
|       937|    с.Космач,ч/п Мохначук М.И.|                  И-Франковская обл.,Косовский р-он,с.Космач|       свид. N 3174 от 8.08.97 г.,Договор N 243 от 2.03.98г.|
|       938|   с.Космач ч/п ДЗВИНЧУК М. А.|              Ивано-Франковская обл,Косовский р-он, с.Космач|                                   Свидетельство N 62270342 |
|       939|   Иван-Франк ч/п Москалюк С И|                    г.Ивано-Франковск ул.Вовчинетская 182/11|                   свид.564 от 5.08.97г.дог358 от 22.06.98г.|
|       940|                г.Киев МЧП ВДВ|                           г.Киев ул.Ломоносова 21/14 ком.42|                                 вал.26036044101 ПИБ г.Киева|
|       950|         Кишинев  АО"Пиеларт".|                         277047,г.Кишинев,ул.Каля Емилор,10 |                            467860 в отд. Зориле Молдиндкон.|
|       951|   Сороки    ПК фирма "Гарант"|                 279900, Молдова, г.Сороки, ул.Лучаферул, 19|                                     р/с 467806 АКБ г.Сороки|
|       952|г.Кишинев Обувное пр-е"Зорим".|                                          Молдова г.Кишинев.|                                       Для опытных образцов.|
|       953|г.КишинЗ-д"ИСКОЖ",АО"Спектру".|                                          Молдова г.Кишинев.|                                       Для опытных образцов.|
|       954|             г.Кишинев ООО АДД|                                    г.Кишинев ул.Копэчень-31|                           1643734421 в ЦБ АКБ МСБ г.Кишинев|
|       955|        г.Кишинев ООО" РЕЗУАН"|                              г. КИШИНЕВ ул. ШТЕФАН ЧЕЛ МАРИ|                         946 7288 в Агроиндбанке г. Кишинева|
|       956|       г.Кишинев ООО "Татьяна"|                                г.Кишинев,ул.Ренаштерий 22/2|                     246 7025 в ЦБ АКБ Банка "Сочи АЛЭ"  703|
|       957|           г.Кахул,АО "ТРИКОН"|                       Молдова,г.Кахул,ул.Штефан чел.Маре 20|                                       467157 в АКБ БС Кахул|
|      1150|        г.Вильнюс ЗАО "НОСТРА"|                                   г.Вильнюс, ул.Вилинедес,8|                                204 070 420 в АО "Litimpers"|
|      1151|              г.Рига ИП"ДАКЛК"|                                          Латвия ул.Салнас 7|                                64400099 в Мултибанке г.Рига|
|      1152|г.Рига Тамож.ск.АО"ПРОДИМПЕКС"|     г.Рига ул.Буллю 45/47 для АО"КВАДРАТС",ул.Маскавас 322 |                          011-106353-001 в ЗМС код 310101786|
|      1154|                        Италия|                                          г.Пиза "Козве СПА"|                                                            |
|      1155|            Литва, АО "ЛИТОДА"|                              Литва, г.Плунге, пр.Прамонес 4|                               14 67 695 в АО "Банк Гермис" |
|      1156|                       Вильнюс|Вильнюс,Тексаетра Текстайл Ко Верклу,37-201 Р. Каспаравичус |                                                            |
|      1157|      Латвия, Рига АО"Римако".|                    Латвия г.Рига,ул.Шампетера,36 АО"Римако"|                            19408033425 в PVN LV 40003098851|
|      1158|  Веесп "Интер-Текстаилс б.в."|                       Веесп,Голландия,Флеволаан 25С,1382 JX|                                                            |
|      1159|                 Таллин "VAST"|                                                    г.Таллин|                                                            |
|      1300|         Лунинец АО Лунинецлес|                                                  г.Лунинец |                                               3012000021911|
|      1301|  г.Малорита,"Райсельхозхимия"|                                 г.Малорита,ул.Советская,137|                       301 220 065 0010 в Бел АПБ г.Малорита|
|      1302|    г.Брест ф-л "Сантехдеталь"|                                     г.Брест ул.Я.Купалы 111|                        3012001650012 в Окт.отд.ПСБ г.Минска|
|      1303|               Столин, РПО ЖКХ|                                    г.Столин,ул.Советская,14|                                   301 220 111 0380 в АК АПБ|
|      1304|      д.Городец,Консервный з-д|                                    Кобринский з-д,д.Городец|                  301 200 237 1452 в АСБ Белорусбанк код 237|
|      1305|       Береза АП"Комбинат С И"|                                                   г.Береза |                                3012201440023 в АПБ г.Береза|
|      1306|   г.Кобрин отд.Агропромбанка |                                    г.Кобрин,ул.Советская,23|                   9 309 810 000 004 в Агропромбанке код 310|
|      1307|     г.Пружаны,Ч/П Яловой Г.Ф.|                                       г.Пружаны ул.Ширмы,63|                            301 320 256 0017 в АПБ г.Пружаны|
|      1308|    г.Кобрин ООО"Текстильторг"|                               г.Кобрин,ул.Дзержинского,68/3|                 301 200 066 0661 в Бел.ВЭБ г.Кобрин код 210|
|      1309|            г.Брест,НПП"АВЕРС"|                               г.Брест,ул.Сов.конституции,18|               301 220 003 8341 в ф-ле АКБ Профбанк. г.Брест|
|      1310|               г.Иваново,СШ N3|                       Брестская обл.,г.Иваново,пл.Октября,2|                            303 320 219 0018 в Агропромбанке|
|      1311|д.Залесье,строящийся мясокомби|                                    Кобринский р-н,д.Залесье|                             303 220 176 0011 в АПБ г.Кобрин|
|      1312|       г.Иваново,ОАО "Мекасан"|                    Брестская обл.,г.Иваново,ул.К.Маркса 104|                   301 220 011 0022 в АКБ "Поиск" г.Иваново |
|      1313|         д.ПЛОСКА  ООО"ОКСАНА"|                                     Брестский р-он,д.Плоска|           301 212 310 0409 в Брестском фил.  АО"Белкомбанк"|
|      1314| БАРАНОВИЧИ БП"ПРОМСНАБСЕРВИС"|                               Барановичи,ул.50 лет ВЛКСМ 13|                        301 200 098 0015 в ПСБ г. Барановичи|
|      1315|Березовский р-он, к-з "СПОРОВО|                          Березовский р-он, колхоз "Спорово"|                            301 220 025 0012 в АПБ г. БЕРЕЗА|
|      1316|        Барановичи, ПКФ "ЛЕГА"|                                    Барановичи ,ул.Ленина 30|                        301 200 000 0018 в АСБ "Беларусбанк"|
|      1317|    г.Ивацевичи,"К-т кооп.пр."|                                    г.Ивацевичи,ул.Заслонова|                          301 220 275 0012 в АПБ г.Ивацевичи|
|      1318|          Пинский р-он РСУ-104|                                 Пинский р-он,д.Молотковичи |         301 220 226 0010 в Полеском спец. отд. АПБ г.Пинска|
|      1319|                Брест МП "СИФ"|                                   г. Брест,ул. Каръерная 11|                          301 205 071 9990 в Белкомбанке    |
|      1320|         Барановичи АТП"ТКАНИ"|                                  г.Барановичи, пл. Ленина 1|                          301 220 044 014 в Ф 0505 Приорбанк|
|      1321|               Брест ПКФ "ЭОС"|                                    г.Брест ул.Пионерская 44|                               3012200880018 в АКБ Приорбанк|
|      1322|           Брест "Брестэнерго"|                                  г.Брест ул.Воровского 13/1|                            3012000080019 в УАК ПСБ г.Бреста|
|      1323|           г.Пинск,МГП "ГЕММА"|                                      г.Пинск,ул.Федотова,11|               301 201 129 001 в Белкомбанке г.Пинск,код 740|
|      1324|          г.Брест БФСО"Динамо"|                         г.Брест ул.Гоголя,4/1 БФСО"Динамо".|                    3015000000077 в фил.110 АСБ Беларусьбанк|
|      1325|         г.Брест,ООО "Интер-С"|                                    г.Брест, ул.Карбышева,31|                   301 220 042 0016 в Ф-ле 0504 АО Приорбанк|
|      1326|          г.Столин МГП"РАДУГА"|                                       г.Столин ул.Ленина,10|                              3012201030112 в А АПБ г.Столин|
|      1327|      г.Брест КООП "Заготпром"|                             г.Брест ул.Брестских дивизий,28|                              3012201000015 в АК АПП г.Брест|
|      1328|         г.Пинск  ПКФ "Концур"|                        г.Пинск ул.Канареева10, ПКФ"Концур".|                   3012201190019 в АКБ  Приорбанка г.Пинска.|
|      1329|        Брест Гл.упр.нац.банка|                                         г.Брест ул.Ленина 9|                     2730800120021 ГУ НПРБ по Брестской обл.|
|      1330|      БАРАНОВИЧИ ООО"НАУТИЛУС"|           Г.БАРАНОВИЧИ УЛ.БРЕСТСКАЯ,224,А ПКФ "НАУТИЛУС"ООО|                    3012600630011 В Ф-ЛЕ 802 АСБ БЕЛАРУСБАНК|
|      1331|        Брест ч/п Колядич М.Ф.|г.Брест ул.Октябрьской Революции д.37кв 112 ч/п Колядич М.Ф.|                                3013100790019 в БББ г.Бреста|
|      1332|             Брест,ПКФ"Аннона"|                                   г.Брест, ул. Я.Купалы 108|                                     301 200 375 1007 в БВЗБ|
|      1333|      Пружаны "Консервный з-д"|                                       Пружаны,ул.Свободы 11|                           301 220 075 0019 в АПБ г.Пружаны |
|      1334|           Пинск  ЭМО"Полесье"|                        г.Пинск ул.Завальная,3,ЭМО "Полесье"|                               3012101040016 в БВЭБ г.Пинск |
|      1335|       Брест ООО"Актам-Сервис"|                  г.Брест ул.Карбышева 74. ООО"АКТАМ-СЕРВИС"|                        3012200620011 в АО Белбанк развития.|
|      1336|    г.Барановичи, ВКФ "АЛЬФА" |                                 г.Барановичи,ул.Репина,67 А|   301 200 116 0010 в АК "ПСБ" г.Барановичи, МФО 150 501 344|
|      1337|          Береза "Теплоприбор"|                                      г.Береза ул.Ленина 100|                                3012203990018 в АПБ г.Березы|
|      1338|           Псыщево к-з"За мир"|                                    Ивановский р-н д.Псыщево|                               3012200460022 в АПБ г.Иваново|
|      1339|                    Ганцевичи |       г.Ганцевичи,отдел культуры Ганцевичского райисполкома|               373 000 515 0017 в АСБ "Беларусбанке" код 107|
|      1340|   г.Береза, ч/п Радкевич Е.М.|                              г.Береза,ул.Комсомольская,2/11|                     301 300 085 0019 в ПСБ г.Береза код 310|
|      1341|             Брест трест 8 ЖБК|                 г.Брест ул.Героев обороны  17, трест 8 ЖБК |                  3012000780016 в Московском отд.ПСБ г.Брест|
|      1342|              Брест ООО"Азот".|                   г.Брест ул.2-ая Белоруская-26, ООО"Азот".|                              3012000700012 в УАК ПСБ Брест.|
|      1343|           Домачево хлебозавод|                                 г.п.Домачево ул.Толстого 11|                                3012204520013 в АПБ г.Бреста|
|      1344|          Кобрин Парк культуры|                                     г.Кобрин ул.Суворова 43|                                3012200570017 в АПБ г.Кобрин|
|      1346|             Брест ПКФ"Виварт"|                                        г.Брест ул.Гоголя 53|                           3012201440019 в УАКБ БББ г.Бреста|
|      1347|               Брест в/ч 14853|                                     г.Брест ул.л-та Рябцева|            3620000000081 в 100 ф-ле АСБ Беларусбанк код.161|
|      1348|             Брест СП"Галтекс"|                                    г.Брест ул.Московская 15|           3012005709990 в ГУАО "Белкомбанк" код.140 г.Брест|
|      1349|           Береза Сельхозхимия|                                г.Береза ул.Комсомольская 14|                                3012201120011 в АПБ г.Береза|
|      1350|     Квасевичи "Перо-пух.ф-ка"|                              д.Квасевичи Ивацевичского р-на|                   3012200120015 в ф-ле "Приорбанка" код.757|
|      1351|            Брест ПКФ "Веронт"|                                        г.Брест ул.В.Хоружей|                      3012200800014 в АКБ Приорбанк г.Бреста|
|      1352|             Пинск МП "Восход"|                                      г.Пинск ул.Кулькова 50|                        3012201810012 в АПБ г.Пинска код.405|
|      1353|          д.Плоска ч/п Сус А И|                                   Брестский р-н д.Плоска 76|                   3013000000086 в МФО 252 АСБ "Беларусбанк"|
|      1354|        Иваново ПКФ "Виктория"|                                   г.Иваново ул.К Маркса 106|                     3012000004059 в АСБ Беларусбанк код.622|
|      1355|      Ленинский сельский совет|                              Жабинковский р-н пос.Ленинский|              3701201480016 в отд.Белагропромбанка г.Жабинка|
|      1356|             Брест Театр кукол|                                        г.Брест ул.Ленина 56|                                3012000004177 в Беларусбанке|
|      1357|                     Пинск СММ|                                  г.Пинск ул.Козубовского 17|                                 3012201450010 в АПБ МФО 405|
|      1358|      Баран.р-н школа-интернат|                               Барановичский р-н д.Ястребель|                                                            |
|      1359|                  Береза ГПОРП|                                       г.Береза ул.Ленина 66|                                3012200350013 а АПБ г.Березы|
|      1360|      Брест ч/п Суродейкин Ю И|                                  г.Брест ул.Киевская 100/45|                3013202200010 РКЦ Головного банка АКБ код783|
|      1361|         Пинск ТПП "Пинопторг"|                                  г.Пинск ул.Куликова 27-513|                                3012204570014 в АПБ г.Пинска|
|      1362|        Брест ЗАО "Металлоопт"|                                     г. Брест ул.Смирнова 23|                                               3012200720012|
|      1363|          Пинск "Маслосырбаза"|                                       г.Пинск ул.Крупской 1|                         3012006010017 в"Белкомбанк" код 740|
|      1364|            Пинск ч/п Войтович|                                   г.Пинск ул.Центральная 38|                   30130001900 в фил. АО Белкомбанка код 740|
|      1365|   г.Брест, база"Текстильторг"|                                       г.Брест, ул.Фомина,15|                                  3012201460015 БББ г.Бреста|
|      1366|Мотоль к-т кооперат.промышлен.|                                     Ивановский р-н,д.Мотоль|                                  3012200750019 Агропромбанк|
|      1500|           Минск ООО "Визбули"|                                        г.Минск ул.Кульман 5|                    3012207670010 в АКБ БББ г.Минска код.739|
|      1501|        г.Дзержинск ПКФ "Шанс"|                                  г.Дзержинск ул.Советская 5|              3012212180017 в АО ББР Дзержинский РКЦ код.800|
|      1502|         г.Борисов ООО"Добекс"|                                   г.Борисов ул.Заводская 45|                               3012207300011 в ПСБ г.Борисов|
|      1503|            г.Минск  ПКФ ЭЛиПС|                                      г.Минск пр.Машерова 45|              3012204600415 в ф-ле 0101 АКБ риорбанк г.Минск|
|      1504|         г.Минск ООО "Белсьют"|                                      г.Минск ул.Захарова 76|               3012300440018 в ф-ле Северный АКБ Белкоопбанк|
|      1505|        г.Минск ООО "СК-ТРЕЙД"|                                г. Минск ,ул.Енисейская 1-25|               301 220 378 0014 в ЗАВОДСКОМ отд БББ г.Минска|
|      1506|              г.Минск ПКФ Вилм|                              г.Минск ул.Долгобродская 26-18|                    3012000006160 в ф-ле 506 АСБ Беларусбанк|
|      1507|         г.Дзержинск ПКП КОМИТ|                                  г.Дзержинск ул.Советская 5|           3012200850010 в АК Бел АПБ г.Дзержинска код 918  |
|      1508|г.МинскООО "ЛЕСАГРОПРОМСЕРВИС"|                              г. Минск ул Могилевская 41/221|              301 220 745 0019 в МИНгордирекции Бел АПБ РКУ2|
|      1509|             г.Минск ПКП "ИМА"|                               г.Минск ул. Бобруйская 25 к 3|                301 200 001 4602 в фил 506 АСБ "Беларусбанк"|
|      1510| г.Жодино Фирма "ММЦ Комплект"|                             г.Жодино,ул.40 лет Октября,7"А"|                   201 200 725 0014 в АКПСБ г.Жодино код 342|
|      1511|                г.Минск КС-Лен|                                       г.Минск ул.Казинца 24|                          3012201010013 в Московском отд.БББ|
|      1512|  г.Копыль з-д резинотех. изд.|                  Минская обл., г.Копыль  ул.Партизанская 32|                           301 220 239 0012 в АПБ г. Копыля |
|      1513|        г.Минск ООО"ДИАСЕРВИС"|                                    г.Минск,ул.Чайковского,3|             301 212 019 0012 в ф-ле 1 АКБ "Новоком" г.Минск|
|      1514|          г.Минск, ПКП "Нилта"|                               г.Минск,ул.Берестянская,13/42|        301 220 643 0017 в АКБ "Белбизнесбанк" код 153001739|
|      1515|Молодечно пр.Нальчинского к-та|                   Минская обл.,г.Молодечно, ул.Строителей,1|          301 220 102 0014 в ФАСБ 601 "Беларусьбанк" код 769|
|      1516|            г.Минск, "ЖИЛЬБЕЛ"|                                  г.Минск,ул.Богдановича,9а |                 301 212 001 0107 3-е Минск.отд.БВЭБ код 217|
|      1517|                 г.Минск "БАГ"|                                    г.Минск,ул.Поселковая,10|          301 220 109 0016 в Белбизнесбанке г.Минска код 739|
|      1518|               г.Минск "Самум"|                                         г.Минск,ул.Жудро,53|                301 220 449 0012 в Лепинском отд.БББ код763 |
|      1519|       г.Минск ПК ООО "Квинто"|                                    г.Минск,ул.Жудро 7 кв.71|      301 200 223 0014 в АКБ "Золотой таллер" г.Минс код 266|
|      1520|      г.Слуцк текстильная ф-ка|                                 г. Слуцк, ул. 14Партизан 15|                            301 200 497 0013 в ПСБ г. Слуцка|
|      1521|         г.Минск ООО "Алфетта"|                                  г.Минск,пр-т Правда 14-107|          301 260 275 1050 в АКБ "Новоком" г.Минска, код 125|
|      1522|   г.п.Старобин Деревообор.к-т|              Минская обл,г.п.Старобин,ул.Краснознаменная,83|             301 220 026 0018 в Бел АПБ г.Солигорска код 917|
|      1523|         Минск  ПП"Бел.Дон-44"|                    г.Минск ул.Тикоцкого,50-2 ПП"Бел.Дон-44"|                             3012259440014 в ГД АКБ "Поиск".|
|      1524|      г.Минск ООО"ЛЕМИГ-ГРУПП"|                                        г.Минск,ул.Попова 26|        301 224 576 0013 в ф-ле 0101 АО "Приорбанка"г.Минска|
|      1526|       ДЗЕРЖИНСК ПКФ "ГЛОРИЯ" |                              г.Дзержинск, ул.Набережная 22а|                    301 220 127 0019 в АКБ АПБ г. Дзержинска|
|      1527|      г.Минск,ПКП "ВЛАНИК и К"|                                                     г.Минск|                      301 200 000 4098 в АКБ "Олимп" код 742|
|      1528|    г.Минск ООО "Антинея Люкс"|                              г.Минск,ул.Машиностроителей,28|                        301 220 266 0005 в Совет.отд. БелПСБ|
|      1529|           г.Минск ООО"САНАНТ"|                                г.Минск,ул.Маяковского,172 а|301 220 179 0011 в Белбизнесбанке г.Минска отд.Солнечное 773|
|      1530|        Минск  Ч/П  РОМАШКЕВИЧ|                                  г.Минск,ул. Белинского 9/3|           301 310 092 0014 в Белагропромбанк  ф-ал "Уручье"|
|      1531|             Минск чп Комарова|                                    г. Минск, Голодеда 12/39|                    301 312 224 0017 в ф-ле 0101 в Приорбанк|
|      1532|                Минск "РЕЙЛИТ"|                                                   г.Минск  |                        301 221 6920013 в Московском отд БББ|
|      1533|         Минск ООО Инторгстрой|                                   г.Минск ул.Чкалова 12-309|                            3012000001400 в АСБ Беларусьбанк|
|      1534|              Минск ООО"Майор"|                                                    г.Минск |                                  3012001480018 в Фрунз.БПСБ|
|      1535|г.Минск,ООО "РосБелпродИмпэкс"|                                   г.Минск,ул.Пугачевская,11|           301 212 210 7807 в АКБ МинскКомплексБанк, КОД 734|
|      1536|            Минск ООО "Тактис"|                              г.Минск,ул,Славинского 1/2 313|                            301 220 185 0037 в "Гарант" ФАКБ|
|      1537|        г.Минск,ООО "Корпорад"|                                       г.Минск,ул.Гусовского|                301 220 209 0018 в АКБ "Приорбанк" ф-ал 0111|
|      1538|       г.Жодино, ОАО "Элегант"|                                       г.Жодино,пр.Ленина,22|                 301 200 141 0023 в АК ПСБ г.Жодино, код.342|
|      1539|г.Молодечно,ЗАО "Энергосервис"|                                   г.Молодечно,ул.Маркова,14|              301 200 067 0017 в Бел ПСБ г.Молодечно код 346|
|      1540| г.Минск, СП "Мебельные ткани"|                                    г.Минск,ул.Л.Украинки,14|        301 221 985 0010 в ф-ле 0111 АКБ "Приорбанк" код 228|
|      1541|   г.Молодечно ПКП"Дмитрий ИК"|                 г.Молодечно ул.Строителей,1 ПКП"Дмитрий ИК"|                        3012201060018 в Бел.АПБ г.Молодечно.|
|      1542|Минский р-нООО "Колесница Ю иК|            Минский р-н,Новодворский с-т,с/к Стайки,д.83,к.5|                     301 200 000 0192 в 519 отд.Беларусбанка|
|      1543|    г.Минск ООО"Искожкомплект"|                                  г.Минск ул.В.Хоружей 13/61|       301 220 353 0012 в Белоруском Банке развития г.Минска|
|      1544|         г.Минск ЗАО"ПЕНОТЕКС"|                          г.Минск ул.Короля,2. ЗАО"ПЕНОТЕКС"|                  3012000012633 в 506 ф-ле АСБ"Беларусбанк".|
|      1545|г.Минск,НГП "Оптическое станко|                                    г.Минск,ул.Филимонова,25|                                                            |
|      1546|              Минск ООО"КИПЕР"|                             г.Минск,ул.Маяковского 154 (20)|                301 273 101 0017 в ф-ле N3 ГУАК БПСБ код 334|
|      1547|    Минск "Белтехэнергомонтаж"|                                    г.Минск ул.М.Горького 68|                     3012232000135 в АК БНБ г.Минска код.765|
|      1549|        Дзержинск НПО"ОВВИМГК"|                                г.Дзержинск ул.Лермонтов 10а|                     3012200930015 в АК Бел АПБ г.Дзержинска|
|      1550|               Минск ЗАО"ЭНИФ"|                            г.Минск,ул.Романовская Слобода 5|       301 200 341 0014 в Центральном отд. АКБ ПСБ г.Минска |
|      1551|         г.Минск ООО"ЛИНТРАНС"|                                   г.Минск,ул.Берута,16 кв 1|           301 260 311 0016 в АКБ "Инфобанк" г.Минск,код 288|
|      1552|           Минск,ООО"МИРОЛГЕН"|                              Минск,ул.Красноармейская 34-44|                         301 203 120 2160 в АКБ Беларусбанк |
|      1553|          Минск ООО"Галатекс" |                                 г.Минск, ул.Якубовского 32а|      301 200 123 0263 в ф-ле 525 АСБ"Беларусбанк" г.Минска |
|      1555|            г.Минск ООО"Эпоха"|                        г.Минск ул.Скорины,7 кв.5 ООО"Эпоха"|                        3012201590009 АКБ Приорбанк г.Минска|
|      1556|    Минск "Универмаг Беларусь"|                                     г.Минск ул.Жилуновича 4|                         3012202170014 в гор.дир.БББ код.764|
|      1557|       Минск ООО"Минтранссофт"|                            г. Минск, ул. Р.Люксембург 80-39|                  301 200 000 8579 ф-ле 510 АСБ Беларусбанк |
|      1558|Минск АО"Белэнергомонтажспецст|                                   г.Минск ул.К.Либнехта ,68|                          3012207860010 в Московском отд.БББ|
|      1559|  Минск "Минскгорзлектротранс"|                                      г.Минск ул.Варвашени 3|                             3012202430012 в гордирекции БББ|
|      1560|         Минск,ООО"КСтекстиль"|                                    г. Минск,ул.Сенницкая 48|      301 221 437 0018 в Октябрьском РКЦ Ленинского отд. БББ|
|      1561|             МИНСК,ЗАО"ЯРОВИТ"|                                    г.Минск,ул. Смолячкова 9|        301 212 210 0761 в АКБ "МинскКомплексБанк" г. Минска|
|      1562|              Минск ООО"Витея"|                                             г.Минск а/я 122|     3012214070015 в Октябрьском РКУ Ленинского БББ г.Минска|
|      1563|             Минск ООО"Виткан"|                                 г.Минск ул.Р.Люксембург 174|                               3012004355842 в Беларусьбанке|
|      1564|   г.Минск ООО"Белтехносинтез"|                             г.Минск,ул.М.Богдановича 55/187|                         301 200 000 949 3 в АСБ Беларусбанк|
|      1565|             Минск ООО"Астика"|                                        г.Минск ул.Кульман 5|                       3012010140018 в Октябрьском отд.АКПСБ|
|      1566|     Дзержинск ООО"Автосервис"|                                   г.Дзержинск,ул.М.Казея 21|         301 200 0010 0010 в АК БелПСБ г.Дзержинска  код 323|
|      1567|               Минск ООО"Баюс"|                                   г.Минск ул.Багдановича 76|      УНН 100018209 в АКБ"Белорусский Биржевой банк г.Минска|
|      1568|          Минск "Агропромторг"|                               г.Минск, ул.Козинца,86/3-211А|       301 200 427 5821 в АСБ "Беларусбанк" ф-л 514, код 614|
|      1569|          Фаниполь ОАО"Белхим"|                                г.п.Фаниполь ул.Заводская 25|                     3012730250015 в Октябрьском БСБ г.Минск|
|      1570|                  Вилейка РКБО|                                 г.Вилейка ул.Водопьянова 23|                     3012000001616 в АСБ Беларусбанк код.260|
